ebird_kodu,bilimsel_ad,turkce_ad,ingilizce_ad,gbif_kayit,gbif_species_key,durum,gerekce,ay_01,ay_02,ay_03,ay_04,ay_05,ay_06,ay_07,ay_08,ay_09,ay_10,ay_11,ay_12
bohwax,Bombycilla garrulus,İpekkuyruk,Bohemian Waxwing,13,2484605,elendi,Istanbul'da yalnizca 13 kayit (esik 30),,,,,,,,,,,,
oltwar1,Hippolais olivetorum,Zeytin Mukalliti,Olive-tree Warbler,13,2493219,elendi,Istanbul'da yalnizca 13 kayit (esik 30),,,,,,,,,,,,
lotduc,Clangula hyemalis,Telkuyruk,Long-tailed Duck,12,2498273,elendi,Istanbul'da yalnizca 12 kayit (esik 30),,,,,,,,,,,,
eurtre1,Certhia familiaris,Orman Tırmaşıkkuşu,Eurasian Treecreeper,11,2487603,elendi,Istanbul'da yalnizca 11 kayit (esik 30),,,,,,,,,,,,
piewhe1,Oenanthe pleschanka,Alaca Kuyrukkakan,Pied Wheatear,11,5231233,elendi,Istanbul'da yalnizca 11 kayit (esik 30),,,,,,,,,,,,
junmyn1,Acridotheres fuscus,Kurşuni Çiğdeci,Jungle Myna,10,2489006,elendi,Istanbul'da yalnizca 10 kayit (esik 30),,,,,,,,,,,,
eabwar1,Phylloscopus orientalis,Boz Çıvgın,Eastern Bonelli's Warbler,10,4408827,elendi,Istanbul'da yalnizca 10 kayit (esik 30),,,,,,,,,,,,
whbwoo1,Dendrocopos leucotos,Ak Sırtlı Ağaçkakan,White-backed Woodpecker,8,2477927,elendi,Istanbul'da yalnizca 8 kayit (esik 30),,,,,,,,,,,,
budger,Melopsittacus undulatus,Muhabbetkuşu,Budgerigar,8,2479798,elendi,"muhabbet kusu, kafes kusu",,,,,,,,,,,,
eurnut3,Nucifraga caryocatactes,Göknar Kargası,Northern Nutcracker,8,2482613,elendi,Istanbul'da yalnizca 8 kayit (esik 30),,,,,,,,,,,,
egygoo,Alopochen aegyptiaca,Nil Kazı,Egyptian Goose,8,2498252,elendi,Istanbul'da yalnizca 8 kayit (esik 30),,,,,,,,,,,,
grecou1,Centropus sinensis,Büyük Kukal,Greater Coucal,8,5232005,elendi,Istanbul'da yalnizca 8 kayit (esik 30),,,,,,,,,,,,
helgui,Numida meleagris,Beçtavuğu,Helmeted Guineafowl,7,2473341,elendi,"beckusu, evcil",,,,,,,,,,,,
snobun,Plectrophenax nivalis,Alaca Çinte,Snow Bunting,7,2491719,elendi,Istanbul'da yalnizca 7 kayit (esik 30),,,,,,,,,,,,
whwsco3,Melanitta fusca,Kadife Ördek,Velvet Scoter,7,2498238,elendi,Istanbul'da yalnizca 7 kayit (esik 30),,,,,,,,,,,,
lammer1,Gypaetus barbatus,Sakallı Akbaba,Bearded Vulture,6,2480649,elendi,Istanbul'da yalnizca 6 kayit (esik 30),,,,,,,,,,,,
wallcr1,Tichodroma muraria,Duvar Tırmaşıkkuşu,Wallcreeper,6,2484918,elendi,Istanbul'da yalnizca 6 kayit (esik 30),,,,,,,,,,,,
renpha,Phalaropus lobatus,Denizdüdükçünü,Red-necked Phalarope,6,5739290,elendi,Istanbul'da yalnizca 6 kayit (esik 30),,,,,,,,,,,,
eueowl1,Bubo bubo,Puhu,Eurasian Eagle-Owl,6,5959092,elendi,Istanbul'da yalnizca 6 kayit (esik 30),,,,,,,,,,,,
,Anthropoides virgo,,,5,2474936,elendi,Istanbul'da yalnizca 5 kayit (esik 30),,,,,,,,,,,,
rtrthr1,Monticola saxatilis,Taşkızılı,Rufous-tailed Rock-Thrush,5,2490956,elendi,Istanbul'da yalnizca 5 kayit (esik 30),,,,,,,,,,,,
pinbun,Emberiza leucocephalos,Ak Başlı Çinte,Pine Bunting,5,2491472,elendi,Istanbul'da yalnizca 5 kayit (esik 30),,,,,,,,,,,,
blawoo1,Dryocopus martius,Kara Ağaçkakan,Black Woodpecker,4,2477872,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
pagplo,Pluvialis fulva,Küçük Altın Yağmurcun,Pacific Golden-Plover,4,2480331,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
somtit3,Poecile lugubris,Ak Yanaklı Baştankara,Sombre Tit,4,2487857,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
,Erythropygia galactotes,,,4,5788860,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
,Sylvia ruppeli,,,4,6100917,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
,Charadrius dubius,,,4,7937336,elendi,Istanbul'da yalnizca 4 kayit (esik 30),,,,,,,,,,,,
cockat,Nymphicus hollandicus,Sultan Papağanı,Cockatiel,3,2479977,elendi,"sultan papagani, kafes kusu",,,,,,,,,,,,
batele1,Terathopius ecaudatus,Cambaz Kartal,Bateleur,3,2480377,elendi,Istanbul'da yalnizca 3 kayit (esik 30),,,,,,,,,,,,
slbcur,Numenius tenuirostris,İnce Gagalı Kervançulluğu,Slender-billed Curlew,3,2481789,elendi,Istanbul'da yalnizca 3 kayit (esik 30),,,,,,,,,,,,
rocbun1,Emberiza cia,Kaya Çintesi,Rock Bunting,3,2491498,elendi,Istanbul'da yalnizca 3 kayit (esik 30),,,,,,,,,,,,
blkfra,Francolinus francolinus,Turaç,Black Francolin,3,5227919,elendi,Istanbul'da yalnizca 3 kayit (esik 30),,,,,,,,,,,,
boneag2,Aquila fasciata,Tavşancıl,Bonelli's Eagle,3,5844449,elendi,Istanbul'da yalnizca 3 kayit (esik 30),,,,,,,,,,,,
compea,Pavo cristatus,Tavuskuşu,Indian Peafowl,3,9451184,elendi,"tavus kusu, evcil",,,,,,,,,,,,
,Ixobrychus minutus,,,2,2480850,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
scoshe1,Calonectris diomedea,Boz Yelkovan,Scopoli's Shearwater,2,2481521,elendi,"acik denizde, karadan ses duyulmaz",,,,,,,,,,,,
tersan,Xenus cinereus,Terek Düdükçünü,Terek Sandpiper,2,2481703,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
bimlar1,Melanocorypha bimaculata,Küçük Boğmaklı Toygar,Bimaculated Lark,2,2490609,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
,Sylvia nana,,,2,2492963,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
eurbul,Pyrrhula pyrrhula,Şakrak,Eurasian Bullfinch,2,2494543,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
whcpin,Anas bahamensis,Ak Gerdanlı Kılkuyruk,White-cheeked Pintail,2,2498090,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
blkswa,Cygnus atratus,Kara Kuğu,Black Swan,2,2498344,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
eurcrm1,Ptyonoprogne rupestris,Kaya Kırlangıcı,Eurasian Crag-Martin,2,4408796,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
plhpar1,Psittacula cyanocephala,Erik Başlı Yeşil Papağan,Plum-headed Parakeet,2,5229044,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
cangoo,Branta canadensis,Kanada Kazı,Canada Goose,2,5232437,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
bargoo,Branta leucopsis,Ak Yanaklı Kaz,Barnacle Goose,2,5232464,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
boowar1,Iduna caligata,Küçük Mukallit,Booted Warbler,2,5739359,elendi,Istanbul'da yalnizca 2 kayit (esik 30),,,,,,,,,,,,
blagro1,Lyrurus tetrix,Orman Horozu,Black Grouse,1,2473682,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
rocpar2,Alectoris graeca,Kaya Kekliği,Rock Partridge,1,2474055,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
,Porzana pusilla,,,1,2474628,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
grebus1,Otis tarda,Toy,Great Bustard,1,2474921,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
senpar,Poicephalus senegalus,Senegal Papağanı,Senegal Parrot,1,2479964,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
grepar,Psittacus erithacus,Afrika Gri Papağanı,Gray Parrot,1,2480181,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
